Memory,Description,Aspect,Notes,Evolve via,Difficulty
Numen: Loopholes,"When Eternity came into the world, certain prudent powers arranged loopholes: the House of the Moon, the persistence of possibility, the right to vengeance. In the right Histories, those loopholes will open again... [Any Librarian can use this to establish a History and complete the game - but the Twice-Born can win a particular victory.]","5 Knock, 5 Moon, 5 Moth","Numen, Persistent",,Easy
Numen: the Bells of Ys,"Ys, by her arts, found the strike-tone that shakes the Hours. For this reason among many the Hours discourage traffic with Ys. But a bell cast with this secret could speak the Ys-note���������  [Any Librarian can use this to establish a History and complete the game - but the Prodigal and the Revolutionary can ","5 Edge, 5 Forge, 5 Rose","Numen, Persistent",,Easy
Numen: the Great Counterfeit,The Sun-in-Splendour and the Forge of the Days could not be joined. But Sunset Celia and the Swan King could. This secret is the trick of it. [Any Librarian can use this to establish a History and complete the game - but the Twice-Born can win a particular victory.],"5 Lantern, 5 Moon, 5 Nectar","Numen, Persistent",,Easy
Numen: the Paths of the Sun,"The Sun has charted his Paths - paths beyond walls and woods and Bounds. When the Sun lights our way, when we are ready, all of us will enter Eternity - at least, in the right History... [Any Librarian can use this to establish a History and complete the game - but the Cartographer and the Twice-Born can win a particular victory.]","5 Forge, 5 Knock, 5 Lantern","Numen, Persistent",,Easy
Numen: the Sun's Weakness,"
The Sun's sins and the Sun's scars are our salvation. There are Histories where they will trap us - prevent us rising to Eternity - [Any Librarian can use this to establish a History and complete the game - but the Executioner can use it to win a particular victory.]","5 Grail, 5 Lantern, 5 Moth","Numen, Persistent",,Easy
Numen: Weaving the World,"The Histories, they say, are braided like hair - or tangled like roots. What is the shape of that knot? Funny you should ask���������  [Any Librarian can use this to establish a History and complete the game - but the Symurgist and the Cartographer can ","5 Heart, 5 Moon, 5 Nectar","Numen, Persistent",,Easy
Clouds,In this country the sky is rarely clear. The Sun goes courteously cloaked.,"1 Moon, 1 Moth",Weather,,Easy
Fog,,"3 Knock, 3 Moon",Weather,,Easy
Gale,,"3 Heart, 3 Sky",Weather,,Easy
Hail,,"3 Edge, 3 Sky",Weather,,Easy
Nume-Brume,Numa's brumous vapours.,"5 Knock, 5 Moon, 5 Rose, 5 Winter",Weather,,Easy
Rain,Soft rain brings life.,"2 Grail, 2 Nectar",Weather,,Easy
Snow,,"3 Sky, 3 Winter",Weather,,Easy
Storm,,"4 Heart, 4 Sky",Weather,,Easy
Sunny,"The Sun is not what it was, but today he is smiling.","2 Lantern, 2 Sky",Weather,,Easy
