,Name,Description,Extras,Tree of Wisdoms Lore 1,Tree of Wisdoms Lore 2,Easy Memories,Difficult Memories,Heart,Grail,Forge,Lantern,Scale,Edge,Nectar,Winter,Sky,Moth,Knock,Rose,Moon,Illumination,Hushery,Nyctodromy,Skolekosophy,The Bosk,Preservation,Birdsong,Horomachistry,Ithastry
10,Drums & Dances,"The first musics were not made by mortals, but taken; from sand-coil and sea-thorn, from flint-heart and dragon-womb.",0,"(The Bosk, Health) The Root

The Thunderskin, the eternal drum that beats to preserve the skin of the world, is a god-from-flesh, which is to say he was once mortal. He died to preserve the last god-from-stone; he died for love; he died for necessity. In matters of Bosk, these three are often intertwined.","(Horomachistry, Mettle) The Heart

The Thunderskin, the eternal drum that beats to preserve the skin of the world, is a god-from-flesh, which is to say he was once mortal. But the Horned-Axe, last of the gods-from-stone, required his death, and so the Grail gave him up, though he loved her. Love is always subject to the will of the Hours, as all horomachists know.",7,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"Health, Altars: ['Altar of the Knot', 'Calicite Altar', 'Chrysalis', 'Deeplight Corals'], Memories: [""Hive's Lament"" 'Wind-in-Waiting']",,,"Mettle, Altars: [], Memories: ['Didumos' 'Forbidden Epic' 'Occult Scrap']",
11,Edicts Inviolable,The precepts of occlusion and dissolution; their jealous enforcement is the nature of the Calyptra,0,"(Preservation, Chor) Night

The Velvet is not the oldest Hour; but she is the oldest Hour of Calyptra. The Black Flower on the Watchman's Tree is the preservation of secrets, and without it the Tree would fall. This is a matter of Preservation.","(Horomachistry, Mettle) Fire

The Mare-in-the-Tree is not the youngest Hour; but she is the youngest Hour of Calyptra, for she has been born many times in many places. The Red Flower on the Watchman's Tree is the fire fuelled by truth, and without it the Tree would fall, as all horomachists know. ",9,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,"Chor, Altars: ['Altar: Malachite', ""Barber's Chair"", 'Instrument: Hallowed Drum'], Memories: ['Old Moment' ""Thunderskin's Paean""]",,"Mettle, Altars: ['Telescope'], Memories: ['Didumos' 'Forbidden Epic' 'Occult Scrap']",
12,Edicts Liminal,The precepts of limitation and division; established by the enigmatic conclave of Hours sometimes called the Chancel.,0,"(Nyctodromy, Fet)  Sapphire
There is a prophecy of a glorious City that mortals could raise, but the Hours of the Chancel have decreed that it will not exist. The decrees of the Chancel are not defied, but now and then they have been circumvented��������� and we might conceive that a City with walls of shining flint could be raised in dreams; in the Mansus.","(Skolekosophy, Ereb) Scolecite
There is a prophecy of a glorious City that mortals could raise, but the Hours of the Chancel have decreed that it will not exist. The decrees of the Chancel are not defied, but now and then they have been circumvented��������� and we might conceive that City with walls of shining scolecite could be raised Nowhere; in the darkness below dreams. T",5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,"Fet, Altars: ['Altar: St Tentreto', 'Shrine: St Januarius'], Memories: ['Wormwood Dream']","Ereb, Altars: ['Condignator', 'Rowenarium (Workstation)'], Memories: ['Earth-Sign' 'Earthquake Name' 'Wormwood Dream']",,,,,
13,Edicts Martial,The precepts of struggle and conflict which drive the cosmic engine of change sometimes called the Corrivality.,0,"(Illumination, Phost) Understanding Creates Conflict

When we name our differences, we learn our enemies. Where there are no names, there are no enemies. This is a matter of the Illumination Wisdom.","(Horomachistry, Mettle)  Conflict Creates Gods

All the Hours are defined by their opposition to other Hours... just as we are defined by the battles we choose. This is a matter of the Horomachistry Wisdom.",8,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Phost, Altars: ['Practice Equipment'], Memories: ['Invincible Audacity' 'Winning Move']",,,,,,,"Mettle, Altars: ['Shrine: the Chancel', 'Telescope'], Memories: ['Didumos' 'Forbidden Epic' 'Occult Scrap']",
14,Ericapaean,"A language of surpassing beauty and allusiveness, revealed through the ecstatic apprehensions of the Orphics, the Eleusinians, and the Sibyls of the Rhine. Ericapaean, these mystics claimed, allows the elaboration of hues, sensations and states of mind too subtle for grosser tongues.",Language,"(Illumination, Phost) The King and the Key

There is a story told by students of light: that a great and golden King held the only key to his deepest prison cell. One day he asked his minister to make eight copies, and distribute them among the people. 'But Sire,' the minister said, 'if a rebel contrives to enter our palace, might they not release their confederates?'

'They might,' answered the King. 'But all kingdoms fall, and one day I might myself seek release from that cell.'","(Hushery, Trist) The King in the Mirror

There is a story told by students of silence: that a great and golden King held the only key to his deepest prison cell. One day he gave the key to his minister, and offered him a choice: to submit to execution, or to visit the cell and tell him what he found there. The minister made the wiser choice, and returned to show the King what he had found in the cell: a mirror.

'Then I release you,' the King declared. The minister left the palace that same day. His reflection, of course, said nothing at all.",9,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Phost, Altars: ['Practice Equipment', 'Shrine: the Watchman'], Memories: ['Invincible Audacity' 'Winning Move']","Trist, Altars: ['Catacombs Altar', 'Columbic Sarcophagus'], Memories: ['Didumos']",,,,,,,
15,Fucine,"A people lived east of the lost lake Fucino. Horace warned that theirs was the land of witches. This was their language, called by some 'the dry tongue' and by others 'the tongue of witches'",Language,"(Hushery, Trist) The Queen's Wound

There is a story known to painters: of a Queen who could love no other, neither woman nor man, but only her own image. She sought nine colours to grace the image, and the last was the turquoise of her eyes, a gift from the Shadowless King. Her court poet hymned his Queen and her image, and in his poem she heard the truth: that the image was greater. So she fled into the Wood, and the image ruled her domain with the poet as its consort, but it always remembered her kindly.","(Ithastry, Wist) The Queen's Weapon

There is a story known to smiths: of a Queen whose realm was invaded by a great army. When she learnt that there were nine invaders for every defender, she ordered her army to surrender its swords. Night and day her smiths laboured to melt down the swords to bronze, while her generals threatened mutiny and the enemy advanced unhindered. They used the bronze to cast a Bell, but each time the Bell was rung, it cracked and had to be recast. At last on the night before the invaders reached the city, the Queen surrendered her crown to the casting. When at dawn the smiths rang the Bell, it cracked the moon like an egg and drove the sun from the sky. The invaders fled. But the Queen without a crown was no longer any queen at all.",8,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"Trist, Altars: [], Memories: ['Didumos']",,,,,,,"Wist, Altars: ['Exercise Yard'], Memories: ['Earthquake Name' 'Invincible Audacity']"
16,Furs & Feathers,"Beasts, birds, husbandry, harvest.",0,"(Nyctodromy, Fet) The Wings in the Wood

When the first hunters were lost in the Wood, in the days before its darkening, they found a chrysalis of black and white. To it they sacrificed the birds of the air, so that it would show them the way home. So the Moth came to be, and so the Moth was the first to navigate the ways of the Wood. This is the foundation of Nyctodromy.","(The Bosk, Health) The Well in the Wood

When the first hunters were starving in the Wood, in the days before its darkening, they found a deep and crimson well. In it they drowned the beasts of the earth, so that the beasts would be reborn threefold, and the hunters could feast. So the Red Grail came to be, and so ever since she feeds us and she feeds upon us. This, the Matriarchs of the Knot have taught us.",10,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,"Fet, Altars: ['Altar: St Tentreto', 'Shrine: St Januarius'], Memories: ['Wormwood Dream']",,"Health, Altars: ['Chrysalis', 'Deeplight Corals'], Memories: [""Hive's Lament"" 'Wind-in-Waiting']",,,,
17,Glassblowing & Vesselcrafting,'We are all vessels. Let us contain only what will grace us when the light shines through.' - Thirza Blake,0,"(Hushery, Wist) Glass, the Keeper
The highest purpose of a glass vessel: to separate what is without from what is within. Perhaps, Hushery suggests, this was the first purpose of the first Hour, and only in that first moment could there be perfect understanding.","(Ithastry, Phost) Glass, the Egg

The highest purpose of a glass vessel: to show clearly perfectly what would otherwise be hidden within. Perhaps, Ithastry suggests, this was the first purpose of the first Hour, and only in that first moment could there be perfect clarity.",10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,"Wist, Altars: ['Solar Altar', 'Tower-Top Prospect'], Memories: ['Didumos']",,,,,,,"Phost, Altars: ['Instrument: Bells', 'Shrine: the Madrugad'], Memories: ['Earthquake Name' 'Invincible Audacity']"
18,Glaziery & Lightsmithing,Break a window. What have you made? A way? A new light? A weapon?' - Natalia Brulleau,Chandlery,"(Illumination, Mettle) The White Flower's Paradox

A paradox of Illumination: light reveals, light blinds. This is the lesson of the White Flower of the Watchman's Tree: even the most dangerous of knowledge is no danger at all when it is forgotten.","(Ithastry, Phost) The Red Flower's Lesson

A lesson from Ithastry: fire reveals, smoke conceals. This is the lesson of the Red Flower of the Watchman's Tree: even the most dangerous of knowledge is no danger at all when it is given to the fire.",10,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Mettle, Altars: ['Practice Equipment'], Memories: ['Invincible Audacity' 'Winning Move']",,,,,,,,"Phost, Altars: ['Instrument: Bells', 'Oubliette Containment', 'Shrine: the Madrugad'], Memories: ['Earthquake Name' 'Invincible Audacity']"
19,The Great Signs and the Great Scars,"Some glyphs are too obscure to reside in any language, but too potent to remain unwritten.",0,"(Hushery, Trist) The First Error

Vak is a Great Scar; Calyptra's first mistake. If she could only be healed of her pain, Calyptra might reign inviolate, and the perilous knowledge it protects might be truly safe. The nature of her healing is a Hushery matter.","(Horomachistry, Fet) The First Enemy

Vak is a Great Scar; the first enemy of Calyptra. When the black flower blossoms on the Watchman's tree, she retreats, and Calyptra protects perilous knowledge behind secrecy's veil. The nature of their enmity is a Horomachistry matter.",8,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"Trist, Altars: [], Memories: ['Didumos']",,,,,,"Fet, Altars: ['Altar: St Tentreto'], Memories: ['Didumos' 'Forbidden Epic' 'Occult Scrap']",
20,Henavek,Kernewek Henavek; the oldest form of the language now called Cornish; or something even older.,Language,"(The Bosk, Health) The Roots

A farmers' proverb in Brancrug: 'What starts in the roots, ends in the sky.'  A superstition goes with it, that before a child's first birthday you should leave her for a summer night sleeping in the roots of an apple-tree, to make sure she grows tall and straight-backed. Not many pay heed to the superstition now, but everyone remembers the proverb. It would probably count as Bosk.","(Ithastry, Wist) The Stars

A smiths' proverb in Brancrug: 'What starts in the sky, ends in the earth.' A story goes with it, that the village smith's anvil in the time of the Dewulfs was hatched from a meteor stone, and so every plough in the village knows something of the stars. Not many remember the story, but everyone remembers the proverb. It would probably count as Ithastry.",8,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"Health, Altars: ['Chrysalis', 'Deeplight Corals'], Memories: [""Hive's Lament"" 'Wind-in-Waiting']",,,,"Wist, Altars: ['Oubliette Containment', 'Shrine: the Madrugad'], Memories: ['Earthquake Name' 'Invincible Audacity']"
21,Herbs & Infusions,"Pluck it, powder it, mix it, warm it, drink it. But not that one.",0,"(The Bosk, Ereb) The Root and the Source

In the inmost walled garden of the palace of the Shadowless Kings in Persia, there grew a yew-tree older than any other. Its root was red, its flowers were black, its berries were white. The Kings would leave their girl-children overnight in the nest of its roots, in memory of the great Mother of their line, and so their daughters were assured health, longevity and wisdom. This is the source of all our science, and this is Bosk.","(Preservation, Health) The Source and the Root

In the inmost walled garden of the palace of the Shadowless Kings in Persia, there was preserved a yew-tree older than any other. The Kings set a bee-hive in its branches, in memory of their forefathers, and they brewed from its flowers a sovereign cure against all poisons. This is the root of all our science, and this is Preservation.",7,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"Ereb, Altars: ['Calicite Altar'], Memories: [""Hive's Lament"" 'Wind-in-Waiting']","Health, Altars: ['Altar: Malachite', ""Barber's Chair""], Memories: ['Old Moment' ""Thunderskin's Paean""]",,,
22,Hill & Hollow,"The ways of the hill-children and the gods-from-stone. Old paths, old secrets, the songs that still echo beneath the earth.",Effective Against Infestations,"(Preservation, Health) How They Endured

In the beginning, the Carapace Cross served the first Hours, the gods born from stone. When the gods-from-stone were defeated, where could the Cross go? Into the hills; into the Bounds; and into us. This is how humankind came to be, and in our most secret hollows, the Cross endures. This is a matter of Preservation.","(Birdsong, Chor) How They Began

In the beginning, the Carapace Cross served the first Hours, the gods born from stone. And the first of the Carapace Cross were the Thritige-kind, who sought the Monarch-at-the-Crossroads to rule them wisely and found him in themselves, who began as many and ended as one. This is a riddle, and the riddlemakers know its importance.",9,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,"Health, Altars: [], Memories: ['Old Moment' ""Thunderskin's Paean""]","Chor, Altars: [], Memories: ['Ascendant Harmony' 'Forbidden Epic' 'Wind-in-Waiting' 'Wind-Rumor']",,
23,Horns & Ivories,"The Hunter, the Way, and their memories.",0,"(Skolekosophy, Shapt) The Chandler's Path

When the Chandler goes a-hunting in the dark of the Wood, he shields his candle so his prey is not forewarned, but he leaves a trail of ivory wax so we may follow him and purchase his prizes. After all, the goal of every hunt is to bring home a trophy, and when we understand Skolekosophy, we know how to bargain.","(The Bosk, Ereb) The Moth's Way

When the Moth goes a-hunting in the dark of the Wood, he remembers a time when the Wood was bright, but he uses his horns to find the way, and we may follow him if we choose. After all, a trophy is nothing without a hunt: that's the lesson of the Wood.",8,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,"Shapt, Altars: ['Condignator'], Memories: ['Earth-Sign' 'Earthquake Name' 'Wormwood Dream']","Ereb, Altars: [], Memories: [""Hive's Lament"" 'Wind-in-Waiting']",,,,
24,Hyksos,"The Shepherd-Kings brought this speech west from Canaan to use in their wards and snares. Had they never come to Egypt, they might never found a way to write it; given its addictive qualities, that might have been for the best.",Language,"(Nyctodromy, Shapt) The Watchmen

The veterans of the L������gion du Seuil, who guard the boundaries of the waking world, tell stories of the labyrinths under the Mansus, above the Wood, and inside the Moon, where the first fallen Hours sleep, or hide, or rot: the gods-from-stone. Why the labyrinths? Because, the legionnaires say, there are Hours ruling now who would fight to consume the last scraps of their old enemies; and those who feast would eclipse those who abstain. The legionnaires have been known to boast that if they were only offered a great enough prize, they could guide the hungry Hour","(Skolekosophy, Ereb) The Dartsmen

The assassins of the Tragulari, who end the long lives of Long, tell stories of the wars between the Hours in the dawn of the world, when the sun was red and low - wars where the savage sound of savage bells unravelled the light of moon and sun - wars where dreams burned on pyres where Long were the fuel. All this ended, the Tragulari say, once the Worms came, and the Hours had a common enemy. And so the Tragulari fear Worms; hate Worms; and make offerings to Worms.",7,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Shapt, Altars: ['Altar: Ascite'], Memories: ['Wormwood Dream']","Ereb, Altars: ['Condignator', 'Nocturnary', 'Rowenarium (Workstation)'], Memories: ['Earth-Sign' 'Earthquake Name' 'Wormwood Dream']",,,,,
25,Inks of Containment,The inks in which the Histories are preserved.,Effective Against Theoplasmic Contamination,"(Preservation, Health) When It Is Safe
Certain knowledge is forbidden to mortals��������� except in nine great libraries protected by the covenant-stones they hold, where this knowledge can be safely recorded in the inks called <i>encaustum</i>. These libraries are together called the Watchman's Tree, and the covenant marked by these stones shares that n","(Horomachistry, Mettle) When It Is Permitted

Certain knowledge is forbidden to mortals��������� unless it's wisely contained. This law is named Calyptra; the enforcement of this law is named Calyptra also; the three Hours who enforce it share that name. They permit that knowledge to persist only in certain sanctioned places, and the most dangerous secrets must only be recorded in the inks called <i>encaustum terminale</i>. Horomachistry teaches",10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,"Health, Altars: [], Memories: ['Old Moment' ""Thunderskin's Paean""]",,"Mettle, Altars: ['Great Clock', 'Shrine: the Chancel', 'Telescope'], Memories: ['Didumos' 'Forbidden Epic' 'Occult Scrap']",
26,Inks of Power,The inks in which the Histories are written.,0,"(Hushery, Trist) The Wound

The greatest and most secret truths can only be recorded by the Librarians of the Watchman's Tree - even then, only beneath the shelter of the Tree's branches, and only in the sanctioned inks called <i>encaustum terminale</i>. There are still certain languages in which these secrets can be spoken aloud, but that has never been safe. These secrets are the world's blood, and to speak them aloud is to shed that blood. We who are silent have always known this.","(Horomachistry, Mettle) The Weapon

The greatest and most secret truths can only be recorded by the Librarians of the Watchman's Tree - even then, only beneath the shelter of the Tree's branches, and only in the sanctioned inks called <i>encaustum</i>. There are still certain languages in which these truths might be spoken aloud, but the Hours no longer permit that power in the mouths of mortals, as the wisdom of Horomachistry teaches us.",8,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,"Trist, Altars: ['Catacombs Altar', 'Loggia Prospect'], Memories: ['Didumos']",,,,,,"Mettle, Altars: ['Telescope'], Memories: ['Didumos' 'Forbidden Epic' 'Occult Scrap']",
27,Inks of Revelation,The inks in which the Histories are revealed.,0,"(Hushery, Wist) Truths that Were
The inks called <i>encaustum terminale</i> are permitted only to the Librarians of the Watchman's Tree. Those inks can be used to reveal truths - even truths that are no longer so, not since the dawn times when the sun hung red and low and we felt its warmth like autumn. If that first and gentlest sun returned, the truths might return with it. Hushery remembers. ","(Ithastry, Phost) Truths that Will Be

The inks called <i>encaustum terminale</i> are permitted only to the Librarians of the Watchman's Tree. Those inks can be used to reveal truths - even truths too great for daylight. Perhaps, then, daylight is not bright enough; perhaps we must find a way to kindle a light bright enough to reveal those greater truths. This would be a matter for Ithastry.",5,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,"Wist, Altars: ['Columbic Sarcophagus', 'Solar Altar'], Memories: ['Didumos']",,,,,,,"Phost, Altars: ['Oubliette Containment'], Memories: ['Earthquake Name' 'Invincible Audacity']"
28,Insects & Nectars,"The Hive, the Nest, and the Chrysalis are the three secret principalities of the lesser world. Two of those three know the temptations of sweetness.",Chandlery,"(Nyctodromy, Fet) The Moth's Spawn

The bright-winged, dark-winged Glaeterfleoge-kind called themselves the Moth's spawn. They are gone now, like all the Carapace-kinds, but we can still use the arts of the Nest to follow the old roads of the night; the legacy of the Carapace Cross; Nyctodromy.","(The Bosk, Ereb) The Grail's Favourlings

The bright-winged, dark-winged Glaeterfleoge-kind called themselves the Grail's favourlings. They are gone now, like all the Carapace-kinds, but we can still use the arts of the Hive to glean the sweetness in the hidden places of the Wood; the legacy of the Carapace Cross; Bosk.",8,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,"Fet, Altars: ['Altar: St Tentreto'], Memories: ['Wormwood Dream']",,"Ereb, Altars: ['Calicite Altar'], Memories: [""Hive's Lament"" 'Wind-in-Waiting']",,,,
